site_name,location,date,time,count
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,06:00:00,1815
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,07:00:00,1998
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,08:00:00,2176
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,09:00:00,2164
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,10:00:00,2179
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,11:00:00,2270
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,12:00:00,2498
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,13:00:00,2550
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,14:00:00,2542
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,15:00:00,2673
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,16:00:00,2742
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,17:00:00,2688
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,18:00:00,2500
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,19:00:00,2085
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,20:00:00,1657
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,21:00:00,1273
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,22:00:00,1241
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,23:00:00,1011
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,00:00:00,688
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,01:00:00,395
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,02:00:00,268
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,03:00:00,391
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,04:00:00,821
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,05:00:00,861
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,06:00:00,988
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,07:00:00,1229
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,08:00:00,1538
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,09:00:00,1895
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,10:00:00,1936
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,11:00:00,2332
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,12:00:00,2592
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,13:00:00,2487
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,14:00:00,2558
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,15:00:00,2553
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,16:00:00,2407
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,17:00:00,2282
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,18:00:00,2092
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,19:00:00,1917
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,20:00:00,1603
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,21:00:00,1063
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,22:00:00,959
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,23:00:00,1003
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,00:00:00,715
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,01:00:00,445
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,02:00:00,356
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,03:00:00,405
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,04:00:00,685
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,05:00:00,749
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,06:00:00,732
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,07:00:00,991
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,08:00:00,1202
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,09:00:00,1418
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,10:00:00,1738
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,11:00:00,2091
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,12:00:00,2373
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,13:00:00,2656
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,14:00:00,2581
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,15:00:00,2608
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,16:00:00,2546
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,17:00:00,2430
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,18:00:00,2298
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,19:00:00,2286
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,20:00:00,1784
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,21:00:00,1388
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,22:00:00,1277
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-05,23:00:00,1142
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,00:00:00,563
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,01:00:00,169
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,02:00:00,158
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,03:00:00,301
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,04:00:00,688
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,05:00:00,1216
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,06:00:00,2507
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,07:00:00,2326
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,08:00:00,1941
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,09:00:00,2102
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,10:00:00,2110
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,11:00:00,2159
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,12:00:00,2182
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,13:00:00,2265
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,14:00:00,2368
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,15:00:00,2502
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,16:00:00,2687
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,17:00:00,2656
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,18:00:00,2512
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,19:00:00,2066
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,20:00:00,1624
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,21:00:00,1237
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,22:00:00,911
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-06,23:00:00,740
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,00:00:00,584
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,01:00:00,221
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,02:00:00,168
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,03:00:00,279
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,04:00:00,612
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,05:00:00,1098
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,06:00:00,2505
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,07:00:00,2210
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,08:00:00,1852
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,09:00:00,2144
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,10:00:00,2113
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,11:00:00,2088
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,12:00:00,2083
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,13:00:00,2317
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,14:00:00,2208
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,15:00:00,2494
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,16:00:00,2687
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,17:00:00,2741
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,18:00:00,2536
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,19:00:00,2182
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,20:00:00,1764
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,21:00:00,1334
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,22:00:00,1035
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-07,23:00:00,799
