date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,blank
2020-01-22,24,9,49,4,7,20,NNE,143,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,95,4,2,1039,31,92,7,45,6,43,6,43,7,12,6,"43
"
2020-01-23,24,10,49,3,5,28,NNE,143,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,93,5,3,1032,31,68,8,46,7,44,7,45,5,9,7,"45
"
2020-01-24,24,9,48,4,6,245,WSW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,90,9,5,1024,31,89,7,45,6,42,6,43,6,9,6,"43
"
2020-01-25,24,9,47,11,18,192,SSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.2,0.0,87,9,5,1013,30,82,8,46,5,42,5,40,17,28,5,"40
"
2020-01-26,24,7,44,14,22,237,WSW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,7.9,0.3,81,9,5,1004,30,77,6,43,3,38,3,37,22,36,3,"37
"
2020-01-27,24,5,41,11,18,238,WSW,338,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Heavy snow,7.3,0.3,85,9,5,994,30,66,3,37,1,33,-1,30,19,31,-1,"30
"
2020-01-28,24,5,41,14,22,273,W,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,75,10,6,999,30,27,2,36,-2,29,-3,27,24,39,-3,"27
"
2020-01-29,24,9,48,10,17,234,SW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,86,10,6,1008,30,48,5,42,3,38,2,36,19,31,2,"36
"
2020-01-30,24,13,55,11,18,247,WSW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,92,10,6,1001,30,90,10,50,9,48,7,45,18,30,7,"45
"
2020-01-31,24,11,52,19,31,230,SW,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,3.3,0.1,90,10,6,1000,30,88,11,51,9,48,7,45,29,47,7,"45
"
2020-02-01,24,9,48,14,23,256,WSW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,74,10,6,1003,30,49,7,45,3,37,3,38,24,38,3,"38
"
2020-02-02,24,10,50,16,26,239,WSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,6.9,0.3,86,10,5,1003,30,65,9,47,6,43,5,41,27,43,5,"41
"
2020-02-03,24,7,45,11,17,277,W,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.0,0.0,76,10,6,1016,30,33,6,42,2,35,2,36,18,30,2,"36
"
2020-02-04,24,8,47,9,15,310,NW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,80,10,6,1030,31,34,5,41,2,35,2,35,17,27,2,"35
"
2020-02-05,24,9,47,6,9,186,S,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,87,10,6,1035,31,24,5,41,3,37,3,38,10,17,3,"38
"
2020-02-06,24,8,47,12,19,144,SE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0.0,84,10,6,1026,31,69,7,44,4,40,4,38,19,30,4,"38
"
2020-02-07,24,10,49,19,31,186,S,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,3.2,0.1,86,10,6,1007,30,76,8,47,5,42,5,40,30,48,5,"40
"
2020-02-08,24,9,48,21,34,215,SW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,8.2,0.3,84,8,5,1005,30,79,7,44,4,39,2,36,34,55,2,"36
"
2020-02-09,24,12,54,27,43,254,WSW,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,19.4,0.8,86,8,4,987,30,93,10,49,7,45,5,42,42,68,5,"42
"
2020-02-10,24,5,42,20,32,273,W,335,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0012_heavy_snow_showers.png,Patchy heavy snow,6.6,0.3,76,8,5,1000,30,51,4,39,-0,32,-2,29,33,54,-2,"29
"
2020-02-11,24,5,41,17,27,273,W,371,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0012_heavy_snow_showers.png,Moderate or heavy snow showers,0.6,0.0,67,10,5,1012,30,48,3,37,-3,27,-3,27,29,46,-3,"27
"
2020-02-12,24,7,44,13,21,213,SSW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,4.1,0.2,80,10,5,1010,30,60,4,39,1,34,0,32,21,34,0,"32
"
2020-02-13,24,10,50,13,20,302,WNW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,18.2,0.7,86,9,5,996,30,55,6,43,4,39,3,37,21,33,3,"37
"
2020-02-14,24,10,50,16,25,236,WSW,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,3.3,0.1,85,10,5,1008,30,61,8,46,6,42,5,40,26,42,5,"40
"
2020-02-15,24,10,51,25,40,225,SW,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,19.6,0.8,89,9,5,991,30,95,9,48,7,45,5,41,39,63,5,"41
"
2020-02-16,24,6,42,23,37,247,WSW,362,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0013_sleet_showers.png,Light sleet showers,4.1,0.2,74,10,5,989,30,68,5,41,1,34,-0,32,38,61,-0,"32
"
2020-02-17,24,6,43,17,28,270,W,371,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0012_heavy_snow_showers.png,Moderate or heavy snow showers,1.9,0.1,78,9,5,1007,30,55,4,40,1,34,-0,31,29,46,-0,"31
"
2020-02-18,24,7,45,15,24,266,W,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.8,0.0,80,10,6,1018,31,53,5,41,2,35,0,33,26,41,0,"33
"
