date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,blank
2020-01-16,24,10,49,23,38,217,SW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,1.6,0.1,79,7,4,996,30,87,8,47,5,41,4,39,36,58,4,"39
"
2020-01-17,24,7,44,12,20,295,WNW,299,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0010_heavy_rain_showers.png,Moderate rain at times,3.2,0.1,73,10,6,1010,30,56,6,42,1,34,2,35,21,34,2,"35
"
2020-01-18,24,6,42,4,6,98,E,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,77,10,6,1029,31,14,4,39,0,32,2,36,7,11,2,"36
"
2020-01-19,24,7,45,10,15,188,S,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,77,10,6,1043,31,17,4,39,0,33,1,33,17,27,1,"33
"
2020-01-20,24,8,47,14,22,212,SSW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,86,10,6,1045,31,45,7,44,4,39,3,37,23,37,3,"37
"
2020-01-21,24,10,49,8,13,261,W,143,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.1,0.0,91,8,4,1043,31,76,8,47,7,45,6,44,13,21,6,"44
"
2020-01-22,24,10,50,2,4,44,NE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,91,10,6,1039,31,84,8,47,7,44,8,46,4,6,8,"46
"
2020-01-23,24,9,49,4,6,244,WSW,143,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.2,0.0,92,8,4,1032,31,66,8,47,7,45,7,45,6,10,7,"45
"
2020-01-24,24,9,49,8,13,228,SW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.4,0.0,91,10,6,1023,31,67,8,46,7,44,6,42,13,21,6,"42
"
2020-01-25,24,9,48,14,22,184,S,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.4,0.0,85,10,6,1010,30,79,8,46,6,42,5,40,21,34,5,"40
"
2020-01-26,24,7,45,18,28,226,SW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,11.8,0.5,75,9,5,1000,30,77,7,44,2,36,2,36,26,42,2,"36
"
2020-01-27,24,6,42,18,29,225,SW,365,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0013_sleet_showers.png,Moderate or heavy sleet showers,13.8,0.5,73,8,5,991,30,79,5,41,0,32,0,32,27,44,0,"32
"
