,date,time,tempC
205,2020-01-09,1300,5
206,2020-01-09,1400,5
207,2020-01-09,1500,6
208,2020-01-09,1600,5
209,2020-01-09,1700,5
210,2020-01-09,1800,5
211,2020-01-09,1900,4
212,2020-01-09,2000,4
213,2020-01-09,2100,4
214,2020-01-09,2200,4
215,2020-01-09,2300,4
216,2020-01-10,0,3
217,2020-01-10,100,4
218,2020-01-10,200,4
219,2020-01-10,300,5
220,2020-01-10,400,4
221,2020-01-10,500,4
222,2020-01-10,600,3
223,2020-01-10,700,3
224,2020-01-10,800,3
225,2020-01-10,900,3
226,2020-01-10,1000,4
227,2020-01-10,1100,5
228,2020-01-10,1200,6
229,2020-01-10,1300,6
230,2020-01-10,1400,7
231,2020-01-10,1500,7
232,2020-01-10,1600,6
233,2020-01-10,1700,4
234,2020-01-10,1800,3
235,2020-01-10,1900,2
236,2020-01-10,2000,0
237,2020-01-10,2100,-1
238,2020-01-10,2200,3
239,2020-01-10,2300,6
240,2020-01-11,0,10
241,2020-01-11,100,10
242,2020-01-11,200,11
243,2020-01-11,300,11
244,2020-01-11,400,11
245,2020-01-11,500,12
246,2020-01-11,600,12
247,2020-01-11,700,12
248,2020-01-11,800,12
249,2020-01-11,900,13
250,2020-01-11,1000,13
251,2020-01-11,1100,13
252,2020-01-11,1200,13
253,2020-01-11,1300,12
254,2020-01-11,1400,10
255,2020-01-11,1500,9
256,2020-01-11,1600,9
257,2020-01-11,1700,9
258,2020-01-11,1800,9
259,2020-01-11,1900,9
260,2020-01-11,2000,9
261,2020-01-11,2100,8
262,2020-01-11,2200,8
263,2020-01-11,2300,7
264,2020-01-12,0,7
265,2020-01-12,100,7
266,2020-01-12,200,7
267,2020-01-12,300,7
268,2020-01-12,400,6
269,2020-01-12,500,6
270,2020-01-12,600,6
271,2020-01-12,700,6
272,2020-01-12,800,7
273,2020-01-12,900,7
274,2020-01-12,1000,7
275,2020-01-12,1100,7
276,2020-01-12,1200,7
277,2020-01-12,1300,7
278,2020-01-12,1400,7
279,2020-01-12,1500,7
280,2020-01-12,1600,6
281,2020-01-12,1700,6
282,2020-01-12,1800,5
283,2020-01-12,1900,5
284,2020-01-12,2000,5
285,2020-01-12,2100,5
286,2020-01-12,2200,5
287,2020-01-12,2300,5
288,2020-01-13,0,5
289,2020-01-13,100,5
290,2020-01-13,200,6
291,2020-01-13,300,6
292,2020-01-13,400,6
293,2020-01-13,500,6
294,2020-01-13,600,7
295,2020-01-13,700,7
296,2020-01-13,800,8
297,2020-01-13,900,8
298,2020-01-13,1000,8
299,2020-01-13,1100,9
300,2020-01-13,1200,9
301,2020-01-13,1300,8
302,2020-01-13,1400,8
303,2020-01-13,1500,7
304,2020-01-13,1600,7
305,2020-01-13,1700,7
306,2020-01-13,1800,6
307,2020-01-13,1900,6
308,2020-01-13,2000,5
309,2020-01-13,2100,5
310,2020-01-13,2200,5
311,2020-01-13,2300,5
312,2020-01-14,0,4
313,2020-01-14,100,5
314,2020-01-14,200,5
315,2020-01-14,300,5
316,2020-01-14,400,5
317,2020-01-14,500,5
318,2020-01-14,600,5
319,2020-01-14,700,6
320,2020-01-14,800,6
321,2020-01-14,900,6
322,2020-01-14,1000,6
323,2020-01-14,1100,6
324,2020-01-14,1200,6
325,2020-01-14,1300,6
326,2020-01-14,1400,6
327,2020-01-14,1500,6
328,2020-01-14,1600,5
329,2020-01-14,1700,5
330,2020-01-14,1800,5
331,2020-01-14,1900,5
332,2020-01-14,2000,5
333,2020-01-14,2100,5
334,2020-01-14,2200,5
335,2020-01-14,2300,5
336,2020-01-15,0,5
337,2020-01-15,100,5
338,2020-01-15,200,5
339,2020-01-15,300,5
340,2020-01-15,400,5
341,2020-01-15,500,5
342,2020-01-15,600,5
343,2020-01-15,700,5
344,2020-01-15,800,5
345,2020-01-15,900,6
346,2020-01-15,1000,6
347,2020-01-15,1100,7
348,2020-01-15,1200,7
349,2020-01-15,1300,7
350,2020-01-15,1400,7
351,2020-01-15,1500,7
352,2020-01-15,1600,7
353,2020-01-15,1700,7
354,2020-01-15,1800,6
355,2020-01-15,1900,6
356,2020-01-15,2000,6
357,2020-01-15,2100,6
358,2020-01-15,2200,6
359,2020-01-15,2300,6
360,2020-01-16,0,6
361,2020-01-16,100,7
362,2020-01-16,200,7
363,2020-01-16,300,7
364,2020-01-16,400,8
365,2020-01-16,500,8
366,2020-01-16,600,8
367,2020-01-16,700,9
368,2020-01-16,800,9
369,2020-01-16,900,9
370,2020-01-16,1000,10
371,2020-01-16,1100,10
372,2020-01-16,1200,11
373,2020-01-16,1300,11
374,2020-01-16,1400,11
375,2020-01-16,1500,11
376,2020-01-16,1600,10
377,2020-01-16,1700,9
378,2020-01-16,1800,8
379,2020-01-16,1900,8
380,2020-01-16,2000,7
381,2020-01-16,2100,7
382,2020-01-16,2200,7
383,2020-01-16,2300,6
384,2020-01-17,0,6
385,2020-01-17,100,6
386,2020-01-17,200,6
387,2020-01-17,300,6
388,2020-01-17,400,5
389,2020-01-17,500,5
390,2020-01-17,600,5
391,2020-01-17,700,5
392,2020-01-17,800,5
393,2020-01-17,900,5
394,2020-01-17,1000,5
395,2020-01-17,1100,6
396,2020-01-17,1200,6
397,2020-01-17,1300,6
398,2020-01-17,1400,5
399,2020-01-17,1500,5
400,2020-01-17,1600,5
401,2020-01-17,1700,5
402,2020-01-17,1800,5
403,2020-01-17,1900,4
404,2020-01-17,2000,4
405,2020-01-17,2100,4
406,2020-01-17,2200,3
407,2020-01-17,2300,3
408,2020-01-18,0,3
409,2020-01-18,100,3
410,2020-01-18,200,3
411,2020-01-18,300,3
412,2020-01-18,400,3
413,2020-01-18,500,3
414,2020-01-18,600,3
415,2020-01-18,700,3
416,2020-01-18,800,3
417,2020-01-18,900,3
418,2020-01-18,1000,4
419,2020-01-18,1100,5
420,2020-01-18,1200,6
421,2020-01-18,1300,6
422,2020-01-18,1400,6
423,2020-01-18,1500,6
424,2020-01-18,1600,5
425,2020-01-18,1700,4
426,2020-01-18,1800,4
427,2020-01-18,1900,3
428,2020-01-18,2000,3
429,2020-01-18,2100,3
430,2020-01-18,2200,3
431,2020-01-18,2300,3
432,2020-01-19,0,3
433,2020-01-19,100,3
434,2020-01-19,200,3
435,2020-01-19,300,3
436,2020-01-19,400,3
437,2020-01-19,500,3
438,2020-01-19,600,3
439,2020-01-19,700,3
440,2020-01-19,800,3
441,2020-01-19,900,3
442,2020-01-19,1000,4
443,2020-01-19,1100,6
444,2020-01-19,1200,7
445,2020-01-19,1300,7
446,2020-01-19,1400,7
447,2020-01-19,1500,7
448,2020-01-19,1600,6
449,2020-01-19,1700,5
450,2020-01-19,1800,4
451,2020-01-19,1900,4
452,2020-01-19,2000,4
453,2020-01-19,2100,4
454,2020-01-19,2200,3
455,2020-01-19,2300,3
456,2020-01-20,0,3
457,2020-01-20,100,3
458,2020-01-20,200,3
459,2020-01-20,300,3
460,2020-01-20,400,3
461,2020-01-20,500,3
462,2020-01-20,600,3
463,2020-01-20,700,3
464,2020-01-20,800,4
465,2020-01-20,900,4
466,2020-01-20,1000,5
467,2020-01-20,1100,6
468,2020-01-20,1200,8
469,2020-01-20,1300,8
470,2020-01-20,1400,9
471,2020-01-20,1500,9
