,CountyName,Date,ConfirmedCovidCases
211,Cork,08/03/20,0
212,Donegal,08/03/20,0
213,Dublin,08/03/20,0
214,Galway,08/03/20,0
215,Kerry,08/03/20,0
216,Kildare,08/03/20,0
217,Kilkenny,08/03/20,0
218,Laois,08/03/20,0
219,Leitrim,08/03/20,0
220,Limerick,08/03/20,0
221,Longford,08/03/20,0
222,Louth,08/03/20,0
223,Mayo,08/03/20,0
224,Meath,08/03/20,0
225,Monaghan,08/03/20,0
226,Offaly,08/03/20,0
227,Roscommon,08/03/20,0
228,Sligo,08/03/20,0
229,Tipperary,08/03/20,0
230,Waterford,08/03/20,0
231,Westmeath,08/03/20,0
232,Wexford,08/03/20,0
233,Wicklow,08/03/20,0
234,Carlow,09/03/20,0
235,Cavan,09/03/20,0
236,Clare,09/03/20,0
237,Cork,09/03/20,0
238,Donegal,09/03/20,0
239,Dublin,09/03/20,0
240,Galway,09/03/20,0
241,Kerry,09/03/20,0
242,Kildare,09/03/20,0
243,Kilkenny,09/03/20,0
244,Laois,09/03/20,0
245,Leitrim,09/03/20,0
246,Limerick,09/03/20,0
247,Longford,09/03/20,0
248,Louth,09/03/20,0
249,Mayo,09/03/20,0
250,Meath,09/03/20,0
251,Monaghan,09/03/20,0
252,Offaly,09/03/20,0
253,Roscommon,09/03/20,0
254,Sligo,09/03/20,0
255,Tipperary,09/03/20,0
256,Waterford,09/03/20,0
257,Westmeath,09/03/20,0
258,Wexford,09/03/20,0
259,Wicklow,09/03/20,0
260,Carlow,10/03/20,0
261,Cavan,10/03/20,0
262,Clare,10/03/20,0
263,Cork,10/03/20,0
264,Donegal,10/03/20,0
265,Dublin,10/03/20,0
266,Galway,10/03/20,0
267,Kerry,10/03/20,0
268,Kildare,10/03/20,0
269,Kilkenny,10/03/20,0
270,Laois,10/03/20,0
271,Leitrim,10/03/20,0
272,Limerick,10/03/20,0
273,Longford,10/03/20,0
274,Louth,10/03/20,0
275,Mayo,10/03/20,0
276,Meath,10/03/20,0
277,Monaghan,10/03/20,0
278,Offaly,10/03/20,0
279,Roscommon,10/03/20,0
280,Sligo,10/03/20,0
281,Tipperary,10/03/20,0
282,Waterford,10/03/20,0
283,Westmeath,10/03/20,0
284,Wexford,10/03/20,0
285,Wicklow,10/03/20,0
286,Carlow,11/03/20,0
287,Cavan,11/03/20,0
288,Clare,11/03/20,0
289,Cork,11/03/20,0
290,Donegal,11/03/20,0
291,Dublin,11/03/20,0
292,Galway,11/03/20,0
293,Kerry,11/03/20,0
294,Kildare,11/03/20,0
295,Kilkenny,11/03/20,0
296,Laois,11/03/20,0
297,Leitrim,11/03/20,0
298,Limerick,11/03/20,0
299,Longford,11/03/20,0
300,Louth,11/03/20,0
301,Mayo,11/03/20,0
302,Meath,11/03/20,0
303,Monaghan,11/03/20,0
304,Offaly,11/03/20,0
305,Roscommon,11/03/20,0
306,Sligo,11/03/20,0
307,Tipperary,11/03/20,0
308,Waterford,11/03/20,0
309,Westmeath,11/03/20,0
310,Wexford,11/03/20,0
311,Wicklow,11/03/20,0
312,Carlow,12/03/20,0
313,Cavan,12/03/20,0
314,Clare,12/03/20,0
315,Cork,12/03/20,0
316,Donegal,12/03/20,0
317,Dublin,12/03/20,0
318,Galway,12/03/20,0
319,Kerry,12/03/20,0
320,Kildare,12/03/20,0
321,Kilkenny,12/03/20,0
322,Laois,12/03/20,0
323,Leitrim,12/03/20,0
324,Limerick,12/03/20,0
325,Longford,12/03/20,0
326,Louth,12/03/20,0
327,Mayo,12/03/20,0
328,Meath,12/03/20,0
329,Monaghan,12/03/20,0
330,Offaly,12/03/20,0
331,Roscommon,12/03/20,0
332,Sligo,12/03/20,0
333,Tipperary,12/03/20,0
334,Waterford,12/03/20,0
335,Westmeath,12/03/20,0
336,Wexford,12/03/20,0
337,Wicklow,12/03/20,0
338,Carlow,13/03/20,0
339,Cavan,13/03/20,0
340,Clare,13/03/20,0
341,Cork,13/03/20,0
342,Donegal,13/03/20,0
343,Dublin,13/03/20,0
344,Galway,13/03/20,0
345,Kerry,13/03/20,0
346,Kildare,13/03/20,0
347,Kilkenny,13/03/20,0
348,Laois,13/03/20,0
349,Leitrim,13/03/20,0
350,Limerick,13/03/20,0
351,Longford,13/03/20,0
352,Louth,13/03/20,0
353,Mayo,13/03/20,0
354,Meath,13/03/20,0
355,Monaghan,13/03/20,0
356,Offaly,13/03/20,0
357,Roscommon,13/03/20,0
358,Sligo,13/03/20,0
359,Tipperary,13/03/20,0
